
(datetime.datetime(2023, 11, 1, 0, 0), (26.699883197717327, -90.0, -6355955.652278291))
(datetime.datetime(2023, 11, 1, 0, 0, 1), (26.728611735104753, -90.0, -6355958.997482002))
(datetime.datetime(2023, 11, 1, 0, 0, 2), (26.75734314449492, -90.0, -6355962.343024193))
(datetime.datetime(2023, 11, 1, 0, 0, 3), (26.786077436398745, -90.0, -6355965.6889035115))
(datetime.datetime(2023, 11, 1, 0, 0, 4), (26.814814621337018, -90.0, -6355969.035118604))
(datetime.datetime(2023, 11, 1, 0, 0, 5), (26.843554709835608, -90.0, -6355972.381668117))
(datetime.datetime(2023, 11, 1, 0, 0, 6), (26.87229771242797, -90.0, -6355975.728550695))
(datetime.datetime(2023, 11, 1, 0, 0, 7), (26.901043639654702, -90.0, -6355979.075764983))
(datetime.datetime(2023, 11, 1, 0, 0, 8), (26.92979250206318, -90.0, -6355982.423309624))
(datetime.datetime(2023, 11, 1, 0, 0, 9), (26.95854431020746, -90.0, -6355985.771183262))
(datetime.datetime(2023, 11, 1, 0, 0, 10), (26.987299074648753, -90.0, -6355989.119384538))
(datetime.datetime(2023, 11, 1, 0, 0, 11), (27.016056805955916, -90.0, -6355992.467912095))
(datetime.datetime(2023, 11, 1, 0, 0, 12), (27.044817514704377, -90.0, -6355995.816764572))
(datetime.datetime(2023, 11, 1, 0, 0, 13), (27.073581211476732, -90.0, -6355999.165940611))
(datetime.datetime(2023, 11, 1, 0, 0, 14), (27.10234790686194, -90.0, -6356002.51543885))
(datetime.datetime(2023, 11, 1, 0, 0, 15), (27.131117611457764, -90.0, -6356005.865257929))
(datetime.datetime(2023, 11, 1, 0, 0, 16), (27.159890335866706, -90.0, -6356009.215396484))
(datetime.datetime(2023, 11, 1, 0, 0, 17), (27.188666090700277, -90.0, -6356012.565853154))
(datetime.datetime(2023, 11, 1, 0, 0, 18), (27.217444886576487, -90.0, -6356015.9166265745))
(datetime.datetime(2023, 11, 1, 0, 0, 19), (27.246226734120494, -90.0, -6356019.267715381))
(datetime.datetime(2023, 11, 1, 0, 0, 20), (27.275011643963985, -90.0, -6356022.61911821))
(datetime.datetime(2023, 11, 1, 0, 0, 21), (27.303799626746923, -90.0, -6356025.970833694))
(datetime.datetime(2023, 11, 1, 0, 0, 22), (27.332590693115343, -90.0, -6356029.322860467))
(datetime.datetime(2023, 11, 1, 0, 0, 23), (27.361384853723717, -90.0, -6356032.675197163))
(datetime.datetime(2023, 11, 1, 0, 0, 24), (27.390182119232612, -90.0, -6356036.027842413))
(datetime.datetime(2023, 11, 1, 0, 0, 25), (27.4189825003099, -90.0, -6356039.380794847))
(datetime.datetime(2023, 11, 1, 0, 0, 26), (27.44778600763169, -90.0, -6356042.734053099))
(datetime.datetime(2023, 11, 1, 0, 0, 27), (27.476592651881198, -90.0, -6356046.087615795))
(datetime.datetime(2023, 11, 1, 0, 0, 28), (27.505402443746185, -90.0, -6356049.441481567))
(datetime.datetime(2023, 11, 1, 0, 0, 29), (27.53421539392481, -90.0, -6356052.795649042))
(datetime.datetime(2023, 11, 1, 0, 0, 30), (27.563031513122347, -90.0, -6356056.150116849))
(datetime.datetime(2023, 11, 1, 0, 0, 31), (27.59185081204962, -90.0, -6356059.504883613))
(datetime.datetime(2023, 11, 1, 0, 0, 32), (27.620673301425086, -90.0, -6356062.859947963))
(datetime.datetime(2023, 11, 1, 0, 0, 33), (27.64949899197594, -90.0, -6356066.21530852))
(datetime.datetime(2023, 11, 1, 0, 0, 34), (27.67832789443634, -90.0, -6356069.570963913))
(datetime.datetime(2023, 11, 1, 0, 0, 35), (27.707160019546446, -90.0, -6356072.926912764))
(datetime.datetime(2023, 11, 1, 0, 0, 36), (27.735995378054053, -90.0, -6356076.283153696))
(datetime.datetime(2023, 11, 1, 0, 0, 37), (27.764833980715913, -90.0, -6356079.639685333))
(datetime.datetime(2023, 11, 1, 0, 0, 38), (27.793675838294853, -90.0, -6356082.996506294))
(datetime.datetime(2023, 11, 1, 0, 0, 39), (27.8225209615609, -90.0, -6356086.353615203))
(datetime.datetime(2023, 11, 1, 0, 0, 40), (27.851369361292395, -90.0, -6356089.711010679))
(datetime.datetime(2023, 11, 1, 0, 0, 41), (27.880221048274592, -90.0, -6356093.068691341))
(datetime.datetime(2023, 11, 1, 0, 0, 42), (27.909076033300014, -90.0, -6356096.426655808))
(datetime.datetime(2023, 11, 1, 0, 0, 43), (27.93793432716884, -90.0, -6356099.784902699))
